solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0001.hcp,.016,.017,.017,.045,0.850
graph0002.hcp,.018,.045,.017,.054,0.750
graph0003.hcp,.013,.013,.013,.024,1.440
graph0004.hcp,.137,.126,.101,.405,0.970
graph0005.hcp,.024,.026,.028,.086,2.390
graph0006.hcp,.045,.045,.042,.159,0.950
graph0007.hcp,.043,.047,.054,.257,3.990
graph0008.hcp,.172,.188,.153,.588,1.020
graph0009.hcp,.087,.089,.091,.221,9.700
graph0010.hcp,.095,.106,.113,.167,1.120
graph0011.hcp,.052,.055,.051,.241,14.270
graph0012.hcp,.266,.295,.213,1.741,44.460
graph0013.hcp,.065,.061,.067,.198,19.690
graph0014.hcp,.189,.190,.204,.453,1.040
graph0015.hcp,.112,.120,.116,.511,21.800
graph0016.hcp,.243,.263,.191,.306,168.570
graph0017.hcp,.101,.111,.113,.389,35.960
graph0018.hcp,.214,.215,.260,.778,0.800
graph0019.hcp,.050,.054,.053,2.326,6.930
graph0020.hcp,.078,.085,.091,.627,48.640
graph0021.hcp,.359,.412,.345,.392,*
graph0022.hcp,.282,.236,.222,.645,74.680
graph0023.hcp,.124,.126,.141,.472,2.100
graph0024.hcp,.220,.244,.231,.649,56.160
graph0025.hcp,.647,.700,.469,1.657,*
graph0026.hcp,.299,.332,.333,.655,175.560
graph0027.hcp,.187,.189,.204,.650,1.890
graph0028.hcp,.217,.227,.208,.658,272.950
graph0029.hcp,.195,.219,.151,.959,*
graph0030.hcp,.119,.128,.128,1.118,194.740
graph0031.hcp,.324,.333,.365,.910,2.240
graph0032.hcp,.222,.243,.233,1.124,477.950
graph0033.hcp,.460,.509,.345,1.112,*
graph0034.hcp,.364,.395,.322,.874,425.490
graph0035.hcp,1.055,1.074,1.126,.860,0.780
graph0036.hcp,.547,.569,.559,1.306,*
graph0037.hcp,.617,.696,.351,.757,*
graph0038.hcp,.256,.250,.255,1.074,*
graph0039.hcp,.327,.363,.443,.854,4.350
graph0040.hcp,.283,.307,.352,1.298,*
graph0041.hcp,1.226,1.385,1.051,2.150,*
graph0042.hcp,.462,.410,.400,1.598,*
graph0043.hcp,.238,.262,.263,1.085,2.010
graph0044.hcp,.363,.370,.369,1.962,*
graph0045.hcp,.482,.489,.367,1.977,*
graph0046.hcp,.163,.176,.173,1.274,*
graph0047.hcp,1.175,1.516,1.085,1.393,5.370
graph0048.hcp,.096,.109,.107,10.738,39.810
graph0049.hcp,.395,.446,.436,2.219,*
graph0050.hcp,1.744,1.893,1.333,3.248,*
graph0051.hcp,.450,.624,.598,2.432,*
graph0052.hcp,.529,.554,.567,1.781,0.830
graph0053.hcp,.714,.780,.766,2.008,*
graph0054.hcp,.750,.859,.601,2.455,*
graph0055.hcp,.737,.709,.708,2.010,*
graph0056.hcp,.681,.747,.796,1.750,4.410
graph0057.hcp,.895,.852,.887,2.075,*
graph0058.hcp,.804,.972,.528,3.235,*
graph0060.hcp,.472,.474,.468,2.539,*
graph0061.hcp,1.545,1.498,1.625,2.935,5.920
graph0062.hcp,.113,.132,.143,12.599,*
graph0063.hcp,1.147,1.382,1.345,2.763,*
graph0064.hcp,.016,.018,.017,.174,1.000
graph0065.hcp,1.091,1.329,.950,6.187,*
graph0066.hcp,.318,.347,.362,3.052,*
graph0067.hcp,.903,.912,.905,2.999,5.200
graph0068.hcp,1.127,1.382,1.371,2.923,*
graph0069.hcp,1.186,.988,.663,3.554,*
graph0070.hcp,1.261,1.429,1.377,3.573,*
graph0071.hcp,2.034,2.182,2.105,3.049,5.570
graph0073.hcp,.445,.505,.397,4.303,*
graph0075.hcp,3.835,5.148,3.430,5.646,*
graph0076.hcp,.096,.102,.096,3.860,65.430
graph0077.hcp,.441,.465,.474,4.150,*
graph0078.hcp,1.372,1.621,1.651,1.894,6.490
graph0080.hcp,.443,.478,.482,3.503,*
graph0081.hcp,2.937,4.920,2.729,4.518,*
graph0082.hcp,.047,.046,.046,.230,0.970
graph0083.hcp,.381,.403,.403,3.210,*
graph0085.hcp,.535,.641,.780,3.112,12.190
graph0086.hcp,.116,.128,.112,4.786,97.530
graph0087.hcp,.177,.199,.198,12.269,177.310
graph0088.hcp,.168,.185,.176,4.889,137.490
graph0089.hcp,1.582,1.974,1.350,4.735,*
graph0091.hcp,.998,1.113,.987,4.703,*
graph0092.hcp,1.607,1.802,1.878,4.759,*
graph0093.hcp,1.420,1.529,1.735,4.486,6.100
graph0094.hcp,.852,.986,.736,5.908,*
graph0095.hcp,2.228,2.663,1.680,5.874,*
graph0097.hcp,.834,.954,.906,3.971,*
graph0099.hcp,1.667,2.685,1.993,4.973,18.130
graph0100.hcp,.957,1.413,1.500,6.112,*
graph0101.hcp,2.593,2.609,1.560,10.343,*
